path	label
1.jpg	Астана
10.jpg	лунный лик.
100.jpg	Как мальчик,
101.jpg	о подвигах, о славе
102.jpg	Страна моя
103.jpg	АКТАС
104.jpg	А, точнее, мать...
105.jpg	Летят шмели
106.jpg	Хранит в себе
107.jpg	Я верю,
108.jpg	Аягоз
109.jpg	не узнать,
11.jpg	теплои
110.jpg	Кокшетау
111.jpg	Актюбинская
112.jpg	Текели
113.jpg	но нездешний
114.jpg	зарослях полыни,
115.jpg	УСТЬ-КАМЕНОГОРСК
116.jpg	и ловок,
117.jpg	Астана
118.jpg	Костанай
119.jpg	Костанай
12.jpg	Каратау
120.jpg	Абхазия
121.jpg	не названье
122.jpg	Зачем не могу
123.jpg	Актау
124.jpg	УРАЛЬСК
125.jpg	Павлодарская
126.jpg	На запад, на запад
127.jpg	луна,
128.jpg	Кызылорда
129.jpg	не разучит.
13.jpg	И по изрытому
130.jpg	Абхазия
131.jpg	Догони же,
132.jpg	Казахстан
133.jpg	звук полетел;
134.jpg	Верней, волчицу,
135.jpg	и ловок,
136.jpg	струну бы задел,
137.jpg	Шахтинск
138.jpg	Шымкент
139.jpg	не достиг;
14.jpg	Кандыагаш
140.jpg	Я забудусь
141.jpg	Южно-Казахстанская
142.jpg	РОССИЯ
143.jpg	Дали смелому
144.jpg	джигит!
145.jpg	Молдавия
146.jpg	Талдыкорган
147.jpg	Где цветут моих
148.jpg	опыт
149.jpg	Твое лицо в его
15.jpg	водка на анисе,
150.jpg	Взывали к мщенью
151.jpg	Так век
152.jpg	Абхазия
153.jpg	Мангистауская
154.jpg	Текели
155.jpg	Опять стога,
156.jpg	и русские поляны
157.jpg	Костанайская
158.jpg	Саяк
159.jpg	Ты отдала свою
16.jpg	В накошенные
160.jpg	длинной.
161.jpg	Шымкент
162.jpg	Шымкент
163.jpg	УСТЬ-КАМЕНОГОРСК
164.jpg	Куда?.. Зачем?..
165.jpg	С высоты ледника
166.jpg	Осуждены идти
167.jpg	УСТЬ-КАМЕНОГОРСК
168.jpg	Индерборский
169.jpg	Северо-Казахстанская
17.jpg	день
170.jpg	и не пил только
171.jpg	Зайсан
172.jpg	В долгих
173.jpg	И там, где сердце
174.jpg	ни чернои хаты,
175.jpg	Ушарал
176.jpg	Мамлютка
177.jpg	Кульсары
178.jpg	до полярных
179.jpg	ночлега
18.jpg	С высоты ледника
180.jpg	Где тишина
181.jpg	Я входил вместо
182.jpg	Атырау
183.jpg	Перед мной
184.jpg	тебя,
185.jpg	А встретятся
186.jpg	бы летать
187.jpg	Акмолинская
188.jpg	ночлега
189.jpg	Долинка
19.jpg	Следит порой за
190.jpg	Далеко с моря
191.jpg	Голодные волчата
192.jpg	мрак приморскои ночи,
193.jpg	Снуют пунцовые
194.jpg	от страданья,
195.jpg	Акмолинская
196.jpg	каких уж неч
197.jpg	однозвучен,
198.jpg	Павлодарская
199.jpg	Меж мной и холмами
2.jpg	ворошат корма
20.jpg	И складывают
200.jpg	Ботакара
201.jpg	Абхазия
202.jpg	Абхазия
203.jpg	Ни огня,
204.jpg	Тараз
205.jpg	Кызылординская
206.jpg	Дремля смолкнул
207.jpg	Алматы
208.jpg	опять
209.jpg	Уральск
21.jpg	Я стал
210.jpg	Для мирной жизни
211.jpg	Семей
212.jpg	Злые
213.jpg	крилья
214.jpg	до заходда
215.jpg	Друг другу
216.jpg	Жезказган
217.jpg	Что поцелуи
218.jpg	Зачем я не птица,
219.jpg	Опять стога
22.jpg	Расстилаются
220.jpg	Павлодарская
221.jpg	Где цветут моих
222.jpg	свою...
223.jpg	но ты не оглянулась,
224.jpg	РК
225.jpg	Летят шмели
226.jpg	Алматинская
227.jpg	скоро ли,
228.jpg	Качар
229.jpg	как молодость
23.jpg	ПЕТРОПАВЛОВСК
230.jpg	Они, толкаясь
231.jpg	Актобе
232.jpg	не названье
233.jpg	Казалинск
234.jpg	свой совершит,
235.jpg	добежит.
236.jpg	клевера.
237.jpg	крылья;
238.jpg	Все ж мучится
239.jpg	Туркестан
24.jpg	вороненый зрачок
240.jpg	Караганда
241.jpg	Злые
242.jpg	моряку, горят.
243.jpg	То разгулье удалое,
244.jpg	Аральск
245.jpg	ПЕТРОПАВЛОВСК
246.jpg	и оскалив пасть
247.jpg	Прекрасно в нас
248.jpg	Завтра к милой
249.jpg	Его живит
25.jpg	ни поцеловать
250.jpg	АКТОБЕ
251.jpg	Октябрьский
252.jpg	Павлодарская
253.jpg	И я забыл
254.jpg	конвоя,
255.jpg	Путь указуя
256.jpg	Что делать нам с
257.jpg	То разгулье удалое,
258.jpg	РОССИЯ
259.jpg	вновь синеют
26.jpg	студеной тишиной.
260.jpg	Мангистауская
261.jpg	Над холодеющими
262.jpg	Атырау
263.jpg	Зыряновск
264.jpg	от
265.jpg	Кызылорда
266.jpg	Актобе
267.jpg	Каркаралинск
268.jpg	отстал
269.jpg	законов судьбы
27.jpg	Акмолинская
270.jpg	Противуречит
271.jpg	Верней, волчицу
272.jpg	сухую воду.
273.jpg	джигиту,
274.jpg	Кем? Кем? Волом?
275.jpg	хлеб
276.jpg	у камина
277.jpg	Откинув лапы
278.jpg	Павлодарская
279.jpg	На их огонь,
28.jpg	Не вместе.
280.jpg	АКТОБЕ
281.jpg	за веком -
282.jpg	Талдыкоргаи
283.jpg	и ловок,
284.jpg	О доблестях,
285.jpg	иногда,
286.jpg	Махтинск
287.jpg	не зная о любви,
288.jpg	связкам
289.jpg	Под скальпелем
29.jpg	Актобе
290.jpg	дважды бывал распорот
291.jpg	Что мог монах
292.jpg	Жаркент
293.jpg	чувствую солидарность
294.jpg	Кызылорда
295.jpg	о подвигах, о славе
296.jpg	позабыли
297.jpg	И ум, как прежде
298.jpg	прекрасное лицо.
299.jpg	Загляжусь
3.jpg	будут мстить.
30.jpg	смолкнул бы он
300.jpg	нам насладиться
301.jpg	РК
302.jpg	Ты стала вновь
303.jpg	Саяк
304.jpg	сухую воду
305.jpg	Я люблю тебя,
306.jpg	Звучна стрелка
307.jpg	Акмолинская
308.jpg	Макат
309.jpg	Восточно-Казахстанская
31.jpg	ТУРКЕСТАН
310.jpg	прекрасное лицо.
311.jpg	И тени чувств,
312.jpg	Село
313.jpg	Актобе
314.jpg	но ты не снизошла
315.jpg	испепеленные года
316.jpg	Где тишина
317.jpg	Северно-Казахстанская
318.jpg	Зарывшись,
319.jpg	молодость прошла!
32.jpg	И жить, как
320.jpg	возвратясь
321.jpg	Аркалык
322.jpg	Алматинская
323.jpg	был рожден,
324.jpg	Туркестанская
325.jpg	Серебрянск
326.jpg	В сырую ночь
327.jpg	Алматинская
328.jpg	Голодные волчата
329.jpg	не испугает,
33.jpg	Туркестанская
330.jpg	Караганда
331.jpg	Как раздалая, так
332.jpg	Атырау
333.jpg	Усть-Каменогорск
334.jpg	Горняцкий
335.jpg	мой ямщик,
336.jpg	там ныне
337.jpg	Шёл человек
338.jpg	не забили глиной,
339.jpg	Кокшетау
34.jpg	Восточно-Казахстанская
340.jpg	Кульсары
341.jpg	Аркалык
342.jpg	АЛМАТИНСКАЯ
343.jpg	Мгновение бежит
344.jpg	АКТЮБИНСКАЯ
345.jpg	Таджикистан
346.jpg	КЫЗЫЛОРДА
347.jpg	путь мой скучен,
348.jpg	Таджикистан
349.jpg	Актобе
35.jpg	Уральск
350.jpg	Абхазия
351.jpg	СЕВЕРО-КАЗАХСТАНСКАЯ
352.jpg	Только с горем я
353.jpg	Актау
354.jpg	Караганда
355.jpg	мрак приморской ночи,
356.jpg	во все концы,
357.jpg	Казахстан
358.jpg	не разлучит.
359.jpg	АСТАНА
36.jpg	Каражал
360.jpg	Молдавия
361.jpg	джигит
362.jpg	кровь.
363.jpg	отстал
364.jpg	смеются с возу,
365.jpg	удаляя,
366.jpg	Северно-Казахстанская
367.jpg	джиги
368.jpg	Земля душиста
369.jpg	Актобе
37.jpg	Сарыколь
370.jpg	терзали жизнь мою
371.jpg	Мангистауская
372.jpg	КЫЗЫЛОРДИНСКАЯ
373.jpg	Украина
374.jpg	Но волчат не тронул,
375.jpg	Семей
376.jpg	Украина
377.jpg	Завтра к милой
378.jpg	Таджикистан
379.jpg	Семей
38.jpg	Астана
380.jpg	Украина
381.jpg	Опять, как
382.jpg	В котором
383.jpg	ЖАМБЫЛЬСКАЯ
384.jpg	Не знаю, где приют
385.jpg	Как памятники
386.jpg	Кульсары
387.jpg	Павлодар
388.jpg	обгоняет.
389.jpg	Каскелен
39.jpg	Республика
390.jpg	Туркестан
391.jpg	Где выл пожар
392.jpg	Жамбылская
393.jpg	луна,
394.jpg	из него
395.jpg	Как раздался, так
396.jpg	Взывали к мщенью
397.jpg	Ты в синий плащ
398.jpg	обнимает,
399.jpg	люди,
4.jpg	Лугами катятся
40.jpg	Уральск
400.jpg	В отдельности,
401.jpg	Таджикистан
402.jpg	Актюбинская
403.jpg	Казахстан
404.jpg	Не вместе
405.jpg	корок.
406.jpg	Тараз
407.jpg	Опять стога,
408.jpg	Павлодар
409.jpg	Украйна
41.jpg	Ушарал
410.jpg	Зайсан
411.jpg	Завтра, Нина,
412.jpg	я со стола.
413.jpg	Павлодарская
414.jpg	всё мимо, мимо.
415.jpg	ШыМкент
416.jpg	Уштобе
417.jpg	бессмертными стихами?
418.jpg	Алматинская
419.jpg	Я здесь
42.jpg	Киевка
420.jpg	ТАДЖИКИСТАН
421.jpg	Пока хорошая
422.jpg	твой синий,
423.jpg	перехваченного плыла
424.jpg	Чем свет телега
425.jpg	скоро ли,
426.jpg	АТЫРАУ
427.jpg	я со стола,
428.jpg	И жизнь поболее,
429.jpg	к маме, жадно пили
43.jpg	все мимо, мимо
430.jpg	бы летать
431.jpg	Сстрана
432.jpg	И мы ломаем руки,
433.jpg	мирный трактор,
434.jpg	луна
435.jpg	благоухает сад,
436.jpg	Семей
437.jpg	Мангистауская
438.jpg	Южно-Казахстанская
439.jpg	Карагандинская
44.jpg	безотрадный,
440.jpg	Актобе
441.jpg	Сперва измучившись
442.jpg	Как памятники
443.jpg	и ты ушла из дому.
444.jpg	сейчас надо мной?
445.jpg	Тараз
446.jpg	Ой,
447.jpg	ТУРКЕСТАНСКАЯ
448.jpg	Затоболык
449.jpg	Кызылорда
45.jpg	от
450.jpg	То разгулье удалое
451.jpg	луна,
452.jpg	не испытал,
453.jpg	прекрасное лицо
454.jpg	Теперь мне сорок
455.jpg	Так век
456.jpg	Отеген батыра
457.jpg	но опять
458.jpg	Актобе
459.jpg	меч их висит
46.jpg	новых городов.
460.jpg	прекрасное лицо
461.jpg	нам насладиться.
462.jpg	помнящих вопли гунна
463.jpg	Астана
464.jpg	Атырау
465.jpg	Астана
466.jpg	джигит
467.jpg	Кричит наш дух,
468.jpg	Земля душиста
469.jpg	ворошат корма
47.jpg	Алматы
470.jpg	Белоруссия
471.jpg	Взывали к мщенью
472.jpg	надевал на себя что
473.jpg	Их забвенный
474.jpg	и щитом
475.jpg	Республика
476.jpg	Область
477.jpg	И одну лишь
478.jpg	Атырау
479.jpg	влюбленное вино
48.jpg	помнящих вопли гунна
480.jpg	срок
481.jpg	Костанай
482.jpg	зарослях полыни
483.jpg	Что время лечит
484.jpg	Вид постоялого
485.jpg	что меня вскормила
486.jpg	Жанатас
487.jpg	Верней, волчицу
488.jpg	Восточно-Казахстанская
489.jpg	Костанай
49.jpg	Акмолинская
490.jpg	Таджикистан
491.jpg	Акмолинская
492.jpg	зарослях полыни,
493.jpg	Белоруссия
494.jpg	Ребят уже не
495.jpg	Украина
496.jpg	Сарань
497.jpg	Поцелуй
498.jpg	не лицемерить
499.jpg	как облака,
5.jpg	но ты не снизошла.
50.jpg	Северно-Казахстанская
500.jpg	джигит!
51.jpg	Откинув лапы
52.jpg	всё мимо, мимго.
53.jpg	Текели
54.jpg	Павлодар
55.jpg	На древней стене
56.jpg	опять
57.jpg	АБХАЗИЯ
58.jpg	Петропавлоск
59.jpg	Северно-Казахстанская
6.jpg	Щучинск
60.jpg	всё мимо, мимо.
61.jpg	Белоруссия
62.jpg	Молдавия
63.jpg	В котором
64.jpg	пред аналоем,
65.jpg	Сарканд
66.jpg	Они, толкаясь
67.jpg	мне снится
68.jpg	почуя на плечах
69.jpg	Твое лицо в его
7.jpg	Злые
70.jpg	хладный
71.jpg	и оскалив пасть
72.jpg	Алматы
73.jpg	Актобе
74.jpg	Южная Осетия
75.jpg	казахстан
76.jpg	святых видений
77.jpg	Западно-Казахстанская
78.jpg	Актобе
79.jpg	свободу любить?
8.jpg	АЛМАТЫ
80.jpg	Каркаралинск
81.jpg	Кандыагаш
82.jpg	ШЫМКЕНТ
83.jpg	Алматинская
84.jpg	Актобе
85.jpg	И по сводам бы
86.jpg	иногда
87.jpg	Туркестан
88.jpg	и неземной покой,
89.jpg	моеи лежит,
9.jpg	вновь синеют
90.jpg	Текели
91.jpg	И арфы шотландской
92.jpg	ныло от разлуки,-
93.jpg	И звал
94.jpg	малые ошибки
95.jpg	Молдавия
96.jpg	где танк
97.jpg	С трухой и
98.jpg	Сергеевка
99.jpg	Жанатас
